id,team,eff_q1,eff_q2,eff_q3,eff_q4,eff_q5,eff_q6,eff_q7,eff_q8,eff_q9,eff_q10,coord_q1,coord_q2,coord_q3,coord_q4,coord_q5,voice_q1,voice_q2,voice_q3,voice_q4,voice_q5,voice_q6,ovconf_q1h,ovconf_q1l,ovconf_q2h,ovconf_q2l,ovconf_q3h,ovconf_q3l,ovconf_q4h,ovconf_q4l,ovconf_q5h,ovconf_q5l,ovconf_q6h,ovconf_q6l,ovconf_q7h,ovconf_q7l,ovconf_q8h,ovconf_q8l,ovconf_q9h,ovconf_q9l,ovconf_q10h,ovconf_q10l
KPjenx7,VxWVZXy,6,7,6,6,6,6,6,6,6,4,5,2,3,4,4,4,4,4,4,3,4,33,25,2008,2005,10,5,2003,2000,30,20,2000,1960,2005,1990,33,20,700,600,15,8
8XM1vXy,VxWVZXy,5,3,5,6,3,5,6,6,5,3,5,4,4,4,3,5,4,4,3,4,4,30,20,2000,1992,50,20,2019,2000,10,3,2000,1993,2000,1993,35,29,1000,700,50,40
WXz0NPm,OlvA1P1,7,7,7,7,7,7,7,7,7,7,5,4,5,5,4,5,4,5,4,5,4,33,27,2000,1990,50,10,2000,1990,100,10,2000,1980,2005,1990,33,28,1500,1000,70,40
GxD15PN,OlvA1P1,7,2,7,7,7,7,7,7,7,7,5,4,4,5,4,4,5,5,5,5,4,35,30,2009,2007,45,20,2005,2000,50,20,1990,1980,2008,2000,32,28,1200,800,60,40
YxeoLl9,OlvA1P1,7,7,7,7,7,7,7,7,7,7,5,4,5,5,4,5,5,5,5,5,5,31,30,1995,1990,30,20,2000,1990,20,10,1970,1960,1980,1960,32,30,800,600,15,10
zP7KkP8,JlBq3PN,7,5,7,7,7,6,7,6,6,6,4,1,2,4,4,2,4,5,3,4,2,40,32,2010,2009,45,35,2005,2000,56,44,2000,1996,2000,1990,33,23,3000,2000,26,25
5P88MP9,5xOnMXW,6,5,3,4,4,2,3,2,2,5,4,4,2,5,4,3,4,4,5,2,4,60,45,2010,2000,50,40,2000,1995,45,35,1970,1960,2000,1990,35,25,1400,1000,90,80
RXKYnPe,5xOnMXW,6,5,4,7,2,5,5,6,6,4,3,2,2,4,2,3,2,1,4,4,2,35,32,2000,1950,30,15,2000,1950,5,2,2000,1950,2000,1950,34,30,1200,900,250,150
0xAJGPQ,JlBq3PN,6,6,7,7,7,4,6,6,4,6,4,2,4,4,3,4,4,3,3,4,4,25,20,1970,1950,25,20,1890,1870,53,47,1900,1890,1990,1980,32,28,990,870,45,30
5xOnqXW,JlBq3PN,6,6,6,7,6,5,4,5,4,4,3,4,4,4,4,4,2,4,3,2,2,35,33,2010,2005,68,56,2005,2002,35,25,2000,1994,1999,1996,33,30,4000,3000,28,25
JlBqYPN,5xOnMXW,6,6,5,7,4,5,5,6,5,5,4,4,4,3,3,4,4,4,4,4,4,36,31,2005,2002,35,20,2003,2000,30,20,1985,1970,1985,1970,36,30,1300,1000,80,60
8XM1qXy,ml4MwXj,6,5,7,7,6,6,3,6,3,4,2,3,1,4,2,5,5,5,4,4,5,32,31,2005,1990,10,5,2000,1980,10,5,1990,1980,1995,1980,36,32,1000,900,30,20
WXz0pPm,ml4MwXj,5,6,7,7,7,4,6,4,6,4,1,3,5,2,3,2,4,4,3,2,2,40,36,2010,2007,60,30,2002,2000,30,20,1970,1940,1990,1970,34,34,800,700,20,15
Yxeo0l9,0xAoGlQ,6,6,6,6,5,4,5,5,3,5,3,2,3,3,2,5,5,5,5,5,5,40,20,2000,1990,20,10,2000,1995,20,10,2000,1980,2000,1990,34,30,1000,800,50,40
zP7KKP8,5xO2qXW,7,6,6,7,5,4,3,5,2,4,3,4,2,3,2,5,4,5,5,5,5,40,20,2005,1990,20,10,2005,1995,40,20,1990,1970,2005,1990,34,30,1000,800,50,40
5P88oP9,JlBJYlN,7,7,6,7,5,4,3,5,1,4,3,2,2,3,2,5,5,5,5,5,5,25,15,2005,1995,20,10,2000,1996,40,20,1990,1970,2000,1990,34,30,1000,800,50,40
RXKY8Pe,DPpkGx8,6,4,6,7,6,6,5,6,6,5,4,4,4,4,3,3,4,4,4,3,4,35,30,2000,1980,50,30,2010,1990,35,25,2000,1980,2000,1980,32,28,1200,1000,60,40
BXqe5Xb,rX1wnPb,6,1,6,7,5,5,6,6,4,4,4,3,3,4,2,3,3,3,4,3,3,30,23,2008,2005,22,12,2003,2000,28,20,1990,1980,1995,1990,32,20,1000,800,54,18
